id,code,step,step_name,title,description,cta_text,cta_url_template,trigger_type,trigger_event,trigger_offset_minutes,trigger_condition,email_recipients,inapp_recipients,is_active,created_at,updated_at,email_subject
fe9ebcdf–e2d8–4b0c–8b75–258c6096db5d,shooting_pickup_reminder,1,Shooting,Are shooting negatives ready for drop–off?,Have the negatives been picked up and prepared for delivery to the lab?,Confirm pickup,/collections/{collectionId}?step=shooting,before,shooting_end,–30,null,{producer},{},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,📋 Shooting pickup reminder – {collectionName} by {clientName} – {photographerName}
e35608a9–a972–4fb7–bb1b–d2df54f1fea0,dropoff_upcoming,2,Negatives drop off,Upcoming negatives drop–off,Negatives are on their way to the lab. Get ready and confirm that everything is ready to receive them.,Confirm drop–off,/collections/{collectionId}?step=negatives_dropoff,on,negatives_pickup_marked,0,null,{photo_lab},{photo_lab},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,📦 Negatives drop–off upcoming – {collectionName} by {clientName} – {photographerName}
b751cbcc–c8b0–48df–9e05–9ad2aabbda8f,dropoff_confirmation_reminder,2,Negatives drop off,Have negatives been dropped off?,Confirm whether the negatives have already been delivered to the lab.,Confirm drop–off,/collections/{collectionId}?step=negatives_dropoff,if,dropoff_deadline,60,negatives_not_confirmed,{photo_lab},{photo_lab},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,📦 Negatives drop–off reminder – {collectionName} by {clientName} – {photographerName}
df93eb58–b5d8–4a07–b272–68e65ab27335,dropoff_delayed,2,Negatives drop off,Drop–off delayed for {collectionName},"Coordinate with the client, photographer and rest of players to update timeline and avoid possible rush–fees.",Check collection,/collections/{collectionId}?step=negatives_dropoff,on,dropoff_deadline_missed,0,null,{producer},"{producer,photo_lab}",TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,🚨 Negatives drop off delayed – {collectionName} by {clientName} – {photographerName}
ca50f22a–a8ba–42c3–8572–c51f3104776a,scanning_deadline_risk,3,Low–res scanning,Upload low–res to share with photographer,The scanning deadline is approaching. Confirm whether scanning will be completed on time.,Upload low–res,/collections/{collectionId}?step=low_res_scanning,before,scanning_deadline,–60,null,{photo_lab},{photo_lab},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,⚠️ Low–res scanning at risk – {collectionName} by {clientName} – {photographerName}
d10e1bf5–4043–4cde–84af–d41aa9a4cc09,scanning_completed,3,Low–res scanning,Low–resolution scans are ready,Download low–res scans review them and share your selection with the client.,Review low–res,/collections/{collectionId}?step=low_res_scanning,on,scanning_completed,0,null,{photographer},{photographer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,✅ Low–res scanning ready – {collectionName} by {clientName} – {photographerName}
fab8ea6d–b508–4476–a90d–5abc295f3d61,lab_shared_additional_materials,3,Low–res scanning,{Photo_labName} has shared an additional link,{commentorName} uploaded a new link. Review photos and prepare your selection.,Review low–res,/collections/{collectionId}?step=low_res_scanning,on,lab_shared_additional_materials,0,null,{photographer},{photographer,TRUE,2026–02–25 20:09:43.324141+00,2026–03–09 19:05:22.295046+00,🆕 Low–res scanning new link shared – {collectionName} by {clientName} – {photographerName}
a8e3c1ac–bbf7–4105–9809–2253cbd21358,scanning_delayed,3,Low–res scanning,Low–res scans delayed for {collectionName},"Coordinate with the client, photographer and rest of players to update timeline and avoid possible rush–fees.",Check collection,/collections/{collectionId}?step=low_res_scanning,on,scanning_deadline_missed,0,null,{producer},{producer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,🚨 Low–res scanning delayed – {collectionName} by {clientName} – {photographerName}
98d51198–d898–4b5c–ac50–3c6da2532a4f,photographer_selection_uploaded,4,Photographer selection,Photographer has shared shooting photos ,The photographer selection is ready. It is now available for the client to review.,Review photos,/collections/{collectionId}?step=photographer_selection,on,photographer_selection_uploaded,0,null,{client},{client},TRUE,2026–02–25 07:43:21.236049+00,2026–03–09 19:05:22.295046+00,✅ Photographer selection ready – {collectionName} by {clientName} – {photographerName}
ce9cfdb9–bb09–4b3a–844f–c336ca6c1141,photographer_selection_risk,4,Photographer selection,Photographer selection at risk,Deadline to upload the photographer’s selection is approaching. Confirm your selection is ready.,Upload selection,/collections/{collectionId}?step=photographer_selection,before,photographer_selection_deadline,–60,null,{photographer},{photographer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,⚠️ Photographer selection at risk – {collectionName} by {clientName} – {photographerName}
23a71de8–28f9–42b1–a667–8496c7bcb30f,photographer_selection_delayed,4,Photographer selection,Photographer selection delayed for {collectionName},The collection is delayed. Please coordinate with the client and photographer to update the timeline.,Check collection,/collections/{collectionId}?step=photographer_selection,on,photographer_selection_deadline_missed,0,null,{producer},{producer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,🚨 Photographer selection delayed – {collectionName} by {clientName} – {photographerName}
5ccd103d–b2ea–4d6d–870a–4560c87e17bb,photographer_shared_additional_materials,5,Client selection,{PhotographerName} has shared an additional link,{commentorName} uploaded a new link. Review photos and prepare your selection.,Review photos,/collections/{collectionId}?step=client_selection,on,photographer_selection_shared,0,null,{client},{client},TRUE,2026–02–26 07:34:25.037816+00,2026–03–09 19:05:22.295046+00,🆕 Photographer has shared new link – {collectionName} by {clientName} – {photographerName}
e73e1368–4cd4–48d3–bb4c–544f6858ed7d,client_selection_delayed,5,Client selection,Client selection delayed for {collectionName},"Coordinate with the client, photographer and rest of players to update timeline and avoid possible rush–fees.",Check progress,/collections/{collectionId}?step=client_selection,on,photographer_selection_deadline_missed,0,null,{producer},{producer},TRUE,2026–02–26 07:34:25.037816+00,2026–03–09 19:05:22.295046+00,🚨 Client selection delayed – {collectionName} by {clientName} – {photographerName}
5cc49037–2c1d–4914–b542–998d82ff4e57,client_selection_morning_reminder,5,Client selection,Reminder: you have to upload today your selection,Upload your selection today before {slotDeadlineTime}. Make sure to share your link before deadline to avoid delays on the collection.,Upload selection,/collections/{collectionId}?step=client_selection,first_time,client_selection_deadline,0,morning_reminder,{client},{client},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,📋 Client selection reminder – {collectionName} by {clientName} – {photographerName}
ed531128–20dc–40b9–a55f–89ef1526eddd,client_selection_urgent_reminder,5,Client selection,Get your selection ready for HR!,Deadline is approaching. Complete your selection to move photos to high resolution.,Upload selection,/collections/{collectionId}?step=client_selection,if,client_selection_deadline,–60,selection_not_completed,{client},{client},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,⚠️ Client selection at risk – {collectionName} by {clientName} – {photographerName}
ba1d521c–e8b7–4bd2–946d–159ec5e69305,client_selection_confirmed,5,Client selection,Review client selection and validate it,"Client has submitted the final image selection. Review it, validate it and give instructions to handprint lab to proceed with high–resolution processing.",Validate selection,/collections/{collectionId}?step=client_selection,on,client_selection_confirmed,0,null,{photographer},{photographer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,✅ Client selection ready – {collectionName} by {clientName} – {photographerName}
2bc6d33d–b654–4f48–9583–d1b557581e1e,photographer_review_risk,6,Photographer review,Photographer review deadline is coming,Deadline for validating client selection is approaching. Please confirm everything is ok and add comments for high–res,Check HR,/collections/{collectionId}?step=photographer_check,before,photographer_check_deadline,–60,null,{photographer},{photographer},TRUE,2026–02–18 07:40:53.965456+00,2026–03–09 19:05:22.295046+00,⚠️ Photographer review at risk – {collectionName} by {clientName} – {photographerName}
b0af5558–25fd–4280–aa38–3445c67671a3,photographer_check_delayed,6,Photographer review,Photographer review delayed for {collectionName},"Coordinate with the client, photographer and rest of players to update timeline and avoid possible rush–fees.",Check collection,/collections/{collectionId}?step=photographer_check,on,photographer_check_deadline_missed,0,null,{producer},{producer},TRUE,2026–02–18 07:40:53.965456+00,2026–03–09 19:05:22.295046+00,🚨 Photographer review delayed – {collectionName} by {clientName} – {photographerName}
3b50e286–6121–4d36–862f–d4f064ea4c52,photographer_check_ready_for_hr,7,Handprint to high-res,Client selection is ready for HR,Check if there are photographer comments before converting client selection to HR.,Upload high–res,/collections/{collectionId}?step=handprint_high_res,on,photographer_check_approved,0,null,{handprint_lab},{handprint_lab},TRUE,2026–02–18 07:40:53.965456+00,2026–03–09 19:05:22.295046+00,✅ Client selection ready for high–res – {collectionName} by {clientName} – {photographerName}
a33329d4–0837–4b3c–97ef–427823808ba5,highres_deadline_risk,7,Low–res to high–res,High–resolution delivery at risk,Deadline for uploading the client selection in high–resolution is approaching. Make sure to upload selection in time!,Upload high–res,/collections/{collectionId}?step=handprint_high_res,before,highres_deadline,–60,null,{handprint_lab},{handprint_lab},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,⚠️ Low–res to high–res at risk – {collectionName} by {clientName} – {photographerName}
71e06e49–234c–40df–aaae–a49c2de59f0a,highres_delayed,7,Low–res to high–res,High–res delayed for {collectionName},"Coordinate with the client, photographer and rest of players to update timeline and avoid possible rush–fees.",Check collection,/collections/{collectionId}?step=handprint_high_res,on,highres_deadline_missed,0,null,{producer},{producer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,🚨 Low–res to high–res delayed – {collectionName} by {clientName} – {photographerName}
124258b0–9921–47fe–9829–38a8a32e49a4,highres_ready,7,Low–res to high–res,High–res ready for review,Check out high–resolution images and leave any comments if needed to get finals ready.,Check HR,/collections/{collectionId}?step=handprint_high_res,on,highres_ready,0,null,{photographer},{photographer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,✅ Client selection is ready in high resolution – {collectionName} by {clientName} – {photographerName}
5e8b7d7f–bbac–4349–beb0–bc627ddb94e2,edition_request_ready,8,Retouch request,Retouch request ready – start edits for {collectionName},All comments and instructions are ready. Please proceed with the requested edits.,Start edits,/collections/{collectionId}?step=edition_request,on,edition_request_submitted,0,null,{retouch_studio},{retouch_studio},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,✅ Retouch request ready – {collectionName} by {clientName} – {photographerName}
dfe9cf0c–4783–4856–8fe6–755d453f1bed,edition_request_delayed,8,Retouch request,Retouch request delayed for {collectionName},"Coordinate with the client, photographer and rest of players to update timeline and avoid possible rush–fees.",null,/collections/{collectionId}?step=edition_request,on,edition_request_deadline_missed,0,null,{producer},{producer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,🚨 Retouch request delayed – {collectionName} by {clientName} – {photographerName}
80d60bc5–6371–4182–ab6e–34c7c3326277,edition_completion_check,8,Retouch request,Retouch request and comments at risk,Deadline for giving retouch comments and instructions is approaching. Confirm everything is ok for final edition.,Add feedback,/collections/{collectionId}?step=edition_request,before,final_edits_deadline,–60,null,{photographer},{photographer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,⚠️ Retouch request at risk – {collectionName} by {clientName} – {photographerName}
3da0c44b–01b2–4bc6–a33e–8f95f60214ee,final_edits_completed,9,Final edits,Final edits ready for {collectionName},"Review final edits, give feedback if needed, and prepare to share the final photos with the client.",Check edits,/collections/{collectionId}?step=final_edits,on,final_edits_completed,0,null,{photographer},{photographer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,✅ Final edits ready – {collectionName} by {clientName} – {photographerName}
27366029–2688–46fc–9a75–288f16b77a60,final_edits_at_risk,9,Final edits,Final edits at risk,Deadline for final edits is approaching. Make sure all photos are attached to the final upload.,Upload final edits,/collections/{collectionId}?step=final_edits,before,final_edits_deadline,–60,null,{retouch_studio},{retouch_studio},TRUE,2026–02–26 08:00:29.295921+00,2026–03–09 19:05:22.295046+00,⚠️ Final edits at risk – {collectionName} by {clientName} – {photographerName}
846a4db6–172a–4322–a72a–1442a372eab9,final_edits_delayed,9,Final edits,Final edits delayed for {collectionName},Final edits are delayed. Please review the situation and update the timeline accordingly.,Check collection,/collections/{collectionId}?step=final_edits,on,final_edits_deadline,0,null,{producer},{producer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,🚨 Final edits delayed – {collectionName} by {clientName} – {photographerName}
d3dffc39–2259–4b36–b11e–9fc152cbaef1,retouch_studio_shared_additional_materials,9,Final edits,{Retouch_studioName} has shared an additional link,{commentorName} uploaded a new link. Review photos and prepare your selection.,Review new link,/collections/{collectionId}?step=photographer_last_check,on,retouch_studio_shared_additional_materials,0,null,{photographer},{photographer},TRUE,2026–02–26 08:07:44.896859+00,2026–03–09 19:05:22.295046+00,🆕 {Retouch_studioName} has shared an additional link– {collectionName} by {clientName} – {photographerName}
b88fb7ea–4133–4099–b18f–247e88fceec7,photographer_review_reminder,10,Photographer last check,Photographer last check at risk,"Review final edits, give feedback and prepare to share the finals with the client.",Share final selection,/collections/{collectionId}?step=photographer_last_check,before,photographer_review_deadline,–60,null,{photographer},{photographer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,⚠️ Photographer last check at risk – {collectionName} by {clientName} – {photographerName}
beae953d–627b–4639–90a6–8861467da8d2,photographer_edits_approved,10,Photographer last check,Finals are ready for {collectionName},The photographer has approved the final selection. Check now and give feedback before completing the collection.,Check finals,/collections/{collectionId}?step=photographer_last_check,on,photographer_edits_approved,0,null,"{client,producer}","{client,producer}",TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,✅ Finals are ready for {collectionName} by {clientName} – {photographerName}
51400225–0327–41be–bcb0–31301aad5be8,photographer_review_delayed,10,Photographer last check,Photographer last check is delayed for {collectionName},"Coordinate with the client, photographer and rest of players to update timeline and avoid possible rush–fees.",Check collection,/collections/{collectionId}?step=photographer_last_check,on,photographer_review_deadline_missed,0,null,{producer},{producer},TRUE,2026–02–01 22:11:01.891649+00,2026–03–09 19:05:22.295046+00,🚨 Photographer last check delayed – {collectionName} by {clientName} – {photographerName}
e2c3ee60–0da6–4bfb–a3c3–ebbdb8c59d09,client_confirmation_reminder,11,Client confirmation,Is collection {collectionName} finished?,Make sure all finals are ok and mark confirm the completion of the collection or add comments requesting additional photos.,Collection finished,/collections/{collectionId}?step=client_confirmation,if,project_deadline,60,client_not_confirmed_completion,"{producer,client}","{producer,client}",TRUE,2026–02–18 07:40:53.965456+00,2026–03–09 19:05:22.295046+00,📋 Client confirmation reminder – {collectionName} by {clientName} – {photographerName}